asset_id,name,category,subcategory,source_zip,source_filename,source_path_inside_zip,target_r2_key,target_public_url,needs_conversion,conversion_reason,notes
meghna_female_accessory_olive_green_woven_handbag,Olive Green Woven Handbag,accessory,handbag,womens assets.zip,olive green woven handbag.jpg,womens assets/bags/olive green woven handbag.jpg,female-assets/accessory/olive_green_woven_handbag.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/olive_green_woven_handbag.jpg,false,,
meghna_female_accessory_orange_and_pink_woven_beach_tot,Orange And Pink Woven Beach Tot,accessory,,womens assets.zip,orange and pink woven beach tot.jpg,womens assets/bags/orange and pink woven beach tot.jpg,female-assets/accessory/orange_and_pink_woven_beach_tot.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/orange_and_pink_woven_beach_tot.jpg,false,,
meghna_female_accessory_pink_wallet,Pink Wallet,accessory,wallet,womens assets.zip,pink wallet.jpg,womens assets/bags/pink wallet.jpg,female-assets/accessory/pink_wallet.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/pink_wallet.jpg,false,,
meghna_female_accessory_purple_wallet,Purple Wallet,accessory,wallet,womens assets.zip,purple wallet.jpg,womens assets/bags/purple wallet.jpg,female-assets/accessory/purple_wallet.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/purple_wallet.jpg,false,,
meghna_female_accessory_tan_top_handle_shoulder_bag,Tan Top Handle Shoulder Bag,accessory,shoulder_bag,womens assets.zip,tan top handle shoulder bag.jpg,womens assets/bags/tan top handle shoulder bag.jpg,female-assets/accessory/tan_top_handle_shoulder_bag.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/tan_top_handle_shoulder_bag.jpg,false,,
meghna_female_accessory_travel_tote_pink,Travel Tote Pink,accessory,tote,womens assets.zip,travel tote pink.jpg,womens assets/bags/travel tote pink.jpg,female-assets/accessory/travel_tote_pink.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/accessory/travel_tote_pink.jpg,false,,
meghna_female_bottom_acid_wash_jeans,Acid Wash Jeans,bottom,jeans,womens assets.zip,acid wash jeans.jpg,womens assets/bottoms/acid wash jeans.jpg,female-assets/bottom/acid_wash_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/acid_wash_jeans.jpg,false,,
meghna_female_bottom_beige_pants_high_waisted,Beige Pants High Waisted,bottom,pant,womens assets.zip,beige pants high waisted.jpg,womens assets/bottoms/beige pants high waisted.jpg,female-assets/bottom/beige_pants_high_waisted.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/beige_pants_high_waisted.jpg,false,,
meghna_female_bottom_black_and_white_polka_dot_shorts,Black And White Polka Dot Shorts,bottom,shorts,womens assets.zip,black and white polka dot shorts.jpg,womens assets/bottoms/black and white polka dot shorts.jpg,female-assets/bottom/black_and_white_polka_dot_shorts.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/black_and_white_polka_dot_shorts.jpg,false,,
meghna_female_bottom_black_jeans,Black Jeans,bottom,jeans,womens assets.zip,black jeans.jpg,womens assets/bottoms/black jeans.jpg,female-assets/bottom/black_jeans.jpg,https://pub-43484c7ec0d741cabcac4df01e98344b.r2.dev/female-assets/bottom/black_jeans.jpg,false,,
